000											無表示
001	谷上	たにがみ	Tanigami	谷上	타니가미	S01			Hokushin		谷上
002	新神戸	しんこうべ	Shin-Kobe	新神户	신코베	S02	神戸ファッション専門学校前	こうべふぁっしょんせんもんがっこうまえ	SeishinYamate		新神戸
003	三宮	さんのみや	Sannomiya	三宫	산노미야	S03	神戸サウナ＆スパ前	こうべさうなあんどすぱまえ	SeishinYamate		地下鉄三宮
004	県庁前	けんちょうまえ	Kenchomae	县厅前	켄초마에	S04	パルモア病院前	ぱるもあびょういんまえ	SeishinYamate		県庁前
005	大倉山	おおくらやま	Okurayama	大仓山	오쿠라야마	S05			SeishinYamate		大倉山
006	湊川公園	みなとがわこうえん	Minatogawakoen	凑川公园	미나토가와코엔	S06	川崎病院前	かわさきびょういんまえ	SeishinYamate		湊川公園
007	上沢	かみさわ	Kamisawa	上泽	카미사와	S07			SeishinYamate		上沢
008	長田	ながた	Nagata	长田	나가타	S08			SeishinYamate		長田
009	新長田	しんながた	Shin-Nagata	新长田	신나가타	S09	神戸常盤大学前	こうべときわだいがくまえ	SeishinYamate		新長田
010	板宿	いたやど	Itayado	板宿	이타야도	S10	滝川中学校・高等学校前	たきがわちゅうがっこう・こうとうがっこうまえ	SeishinYamate		板宿
011	妙法寺	みょうほうじ	Myohoji	妙法寺	묘호지	S11	神戸星城高等学校前	こうえせいじょうこうとうがっこうまえ	SeishinYamate		妙法寺
012	名谷	みょうだに	Myodani	名谷	묘다니	S12	須磨パティオ前	すまぱてぃおまえ	SeishinYamate		名谷
013	総合運動公園	そうごううんどうこうえん	Sogoundokoen	綜合运动公园	소고우운도우코엔	S13			SeishinYamate	総合　　<br>運動公園	総合運動公園
014	学園都市	がくえんとし	Gakuentoshi	学园都市	가쿠엔토시	S14	たがみ眼科医院前	たがみがんかいいんまえ	SeishinYamate		学園都市
015	伊川谷	いかわだに	Ikawadani	伊川谷	이카와다니	S15	落合眼科医院前	おちあいがんかいいんまえ	SeishinYamate		伊川谷
016	西神南	せいしんみなみ	Seishin-Minami	西神南	세이신미나미	S16	なでしこレディースホスピタル前	なでしこれでぃーすほすぴたるまえ	SeishinYamate		西神南
017	西神中央	せいしんちゅうおう	Seishin-Chuo	西神中央	세이신추오	S17			SeishinYamate		西神中央
101	大阪梅田	おおさかうめだ	Osaka-umeda	大阪梅田	오사카우메다	HK01			HankyuKobe		神戸線大阪梅田
102	中津	なかつ	Nakatsu	中津	나카쓰	HK02			HankyuKobe		神戸線中津
103	十三	じゅうそう	Juso	十三	주소	HK03			HankyuKobe		神戸線十三
104	神崎川	かんざきがわ	Kanzaki-gawa	神崎川	칸자키가와	HK04			HankyuKobe		神崎川
105	園田	そのだ	Sonoda	园田	소노다	HK05			HankyuKobe		園田
106	塚口	つかぐち	Tsukaguchi	塚口	쓰카구치	HK06			HankyuKobe		塚口
107	武庫之荘	むこのそう	Mukonoso	武库之庄	무코노소	HK07			HankyuKobe		武庫之荘
108	西宮北口	にしのみやきたぐち	Nishinomiya-kitaguchi	西宫北口	니시노미야키타구치	HK08	阪急西宮ガーデンズ前	はんきゅうにしのみやがーでんずまえ	HankyuKobe		西宮北口
109	夙川	しゅくがわ	Shukugawa	夙川	슈쿠가와	HK09			HankyuKobe		夙川
110	芦屋川	あしや	Ashiya-gawa	芦屋川	아시야가와	HK10			HankyuKobe		芦屋川
111	岡本	おかもと	Okamoto	冈本	오카모토	HK11			HankyuKobe		岡本
112	御影	みかげ	Mikage	御影	미카게	HK12			HankyuKobe		阪急線御影
113	六甲	ろっこう	Rokko	六甲	롯코	HK13			HankyuKobe		六甲
